Tweets,Result
At some point the Fake News will be forced to discuss our great jobs numbers strong economy success with ISIS the border &amp; so much else!,Positive
Will be speaking with Italy this morning!,Neutral
Spoke yesterday with the King of Saudi Arabia about peace in the Middle-East. Interesting things are happening!,Positive
Will be speaking with Germany and France this morning.,Neutral
America's men &amp; women in uniform is the story of FREEDOM overcoming OPPRESSION the STRONG protecting the WEAK &amp; G… https://t.co/LtTpGsP3fC,Neutral
Stock Market at all time high unemployment at lowest level in years (wages will start going up) and our base has never been stronger!,Positive
The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE!… https://t.co/EwnwCeuGMv,Neutral
#FraudNewsCNN #FNN https://t.co/WYUnHjjUjg,Neutral
We will always take care of our GREAT VETERANS. You have shed your blood poured your love and bared your soul in… https://t.co/bTPuerxLOr,Positive
My use of social media is not Presidential - it’s MODERN DAY PRESIDENTIAL. Make America Great Again!,Positive
I am thinking about changing the name #FakeNews CNN to #FraudNewsCNN!,Neutral
....the 2016 election with interviews speeches and social media. I had to beat #FakeNews and did. We will continue to WIN!,Positive
The FAKE &amp; FRAUDULENT NEWS MEDIA is working hard to convince Republicans and others I should not use social media - but remember I won....,Negative
Getting rdy to leave for tonight's Celebrate Freedom Concert honoring our GREAT VETERANS w/ so many of my evangelic… https://t.co/shfTAoMJry,Positive
Weekly Address???? #KatesLaw#NoSanctuaryForCriminalsActStatement: https://t.co/I8cqKGDK2B https://t.co/00mao6Vk7R,Neutral
Crazy Joe Scarborough and dumb as a rock Mika are not bad people but their low rated show is dominated by their NBC bosses. Too bad!,Negative
I am extremely pleased to see that @CNN has finally been exposed as #FakeNews and garbage journalism. It's about time!,Neutral
Numerous states are refusing to give information to the very distinguished VOTER FRAUD PANEL. What are they trying to hide?,Negative
Word is that @Greta Van Susteren was let go by her out of control bosses at @NBC &amp; @Comcast because she refused to go along w/ 'Trump hate!',Negative
Happy Canada Day to all of the great people of Canada and to your Prime Minister and my new found friend @JustinTrudeau. #Canada150,Positive
America will THINK BIG once again. We will inspire millions of children to carry on the proud tradition of American… https://t.co/hZCMp5cSJc,Positive
The era of strategic patience with the North Korea regime has failed. That patience is over. We are working closely… https://t.co/MxN04V2Yn4,Positive
I am encouraged by President Moon's assurances that he will work to level the playing field for American workers b… https://t.co/DUZh6aMjJS,Positive
Watched low rated @Morning_Joe for first time in long time. FAKE NEWS. He called me to stop a National Enquirer article. I said no! Bad show,Negative
Crime and killings in Chicago have reached such epidemic proportions that I am sending in Federal help. 1714 shootings in Chicago this year!,Negative
If Republican Senators are unable to pass what they are working on now they should immediately REPEAL and then REPLACE at a later date!,Negative
Just finished a very good meeting with the President of South Korea. Many subjects discussed including North Korea and new trade deal!,Positive
Our new American Energy Policy will unlock MILLIONS of jobs &amp; TRILLIONS in wealth. We are on the cusp of a true ene… https://t.co/w5Y7UXZSSD,Neutral
When it comes to the future of America’s energy needs we will FIND IT we will DREAM IT and we will BUILD IT.… https://t.co/m0HmPbUZ6C,Neutral
Statement on House Passage of Kate’s Law and No Sanctuary for Criminals Act. https://t.co/uPRy9XgK5A,Neutral
Good news out of the House with the passing of 'No Sanctuary for Criminals Act.' Hopefully Senate will follow.,Positive
Good news House just passed #KatesLaw. Hopefully Senate will follow.,Positive
Mattis Says Trump’s Warning Stopped Chemical Weapons Attack In Syria https://t.co/XL9LLNKh8i,Negative
Join me LIVE with @VP @SecretaryPerry @SecretaryZinke and @EPAScottPruitt. #UnleashingAmericanEnergyhttps://t.co/hlM7F2BQD9,Neutral
MAKE AMERICA SAFE AGAIN!#NoSanctuaryForCriminalsAct #KatesLaw #SaveAmericanLives https://t.co/jbN4hPjqjS,Positive
Today the House votes on two crucial bills:??#NoSanctuaryForCriminalsAct ??#KatesLaw ??Pass these bills &amp; lets… https://t.co/4N2c0oxMve,Neutral
...to Mar-a-Lago 3 nights in a row around New Year's Eve and insisted on joining me. She was bleeding badly from a face-lift. I said no!,Negative
I heard poorly rated @Morning_Joe speaks badly of me (don't watch anymore). Then how come low I.Q. Crazy Mika along with Psycho Joe came..,Negative
New Sugar deal negotiated with Mexico is a very good one for both Mexico and the U.S. Had no deal for many years which hurt U.S. badly.,Negative
Tomorrow the House votes on #KatesLaw &amp; No Sanctuary For Criminals Act. Lawmakers must vote to put American safety… https://t.co/p3vd8IXXaD,Neutral
From my first day in office we’ve taken swift action to lift the crushing restrictions on American energy. Remarks… https://t.co/VBoEubD59k,Neutral
Democrats purposely misstated Medicaid under new Senate bill - actually goes up. https://t.co/necCt4K6UH,Neutral
Today I hosted an immigration roundtable ahead of two votes taking place in Congress tomorrow. Watch and read more… https://t.co/5k8WzW1t68,Neutral
It was my great honor to welcome the 2016 World Series Champion Chicago @Cubs ?? to the @WhiteHouse this afternoon.… https://t.co/GvPhJ9hZdv,Positive
#ICYMI- on Monday I had the great honor of welcoming India's Prime Minister @narendramodi to the WH. Full Remarks:… https://t.co/7IIQEh7xXv,Positive
The #AmazonWashingtonPost sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!,Negative
RT @foxandfriends: HAPPENING TODAY: House to vote on immigration bills including 'Kate’s Law' and 'No Sanctuary for Criminals Act' https://…,Neutral
Some of the Fake News Media likes to say that I am not totally engaged in healthcare. Wrong I know the subject well &amp; want victory for U.S.,Positive
The failing @nytimes writes false story after false story about me. They don't even call to verify the facts of a story. A Fake News Joke!,Negative
I just finished a great meeting with the Republican Senators concerning HealthCare. They really want to get it right unlike OCare!,Positive
With ZERO Democrats to help and a failed expensive and dangerous ObamaCare as the Dems legacy the Republican Senators are working hard!,Negative
So they caught Fake News CNN cold but what about NBC CBS &amp; ABC? What about the failing @nytimes &amp; @washingtonpost? They are all Fake News!,Negative
Fake News CNN is looking at big management changes now that they got caught falsely pushing their phony Russian stories. Ratings way down!,Negative
"RT @ericbolling: Good morning friends!  ""The Swamp"" out today.  President Trump has a copy... get yours here https://t.co/TntLPNCCjR. #maga…",Positive
RT @foxandfriends: President Trump officially nominates former Assistant Attorney General Christopher Wray to head the FBI https://t.co/ld7…,Positive
RT @foxandfriends: Another Dem 'queasy' over claim of Loretta Lynch meddling in Clinton case https://t.co/wdQ9MduxOO,Neutral
RT @foxandfriends: Hannity: Russia allegations 'boomeranging back' on Democrats https://t.co/lvdrpxpcp9,Negative
RT @foxandfriends: Mark Levin: The collusion is among the Democrats https://t.co/Qrca7r01BI,Negative
RT @JeffTutorials: @realDonaldTrump  https://t.co/6sDcyiW4Kt,Neutral
"Wow CNN had to retract big story on ""Russia"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!",Negative
Great day for America's future Security and Safety courtesy of the U.S. Supreme Court. I will keep fighting for the American people &amp; WIN!,Positive
"From @FoxNews ""Bombshell: In 2016 Obama dismissed idea that anyone could rig an American election.""  Check out his statement - Witch Hunt!",Neutral
RT @WhiteHouse: FACT: when #Obamacare was signed CBO estimated that 23M would be covered in 2017. They were off by 100%. Only 10.3M people…,Neutral
Very grateful for the 9-O decision from the U. S. Supreme Court. We must keep America SAFE!,Positive
RT @WhiteHouse: Today @POTUS will welcome the Prime Minister of India @narendramodi to the White House. https://t.co/MIi1ifmdAN,Positive
RT @WhiteHouse: #Obamacare has led to higher costs and fewer health insurance options for millions of Americans. It has failed the American…,Neutral
Republican Senators are working very hard to get there with no help from the Democrats. Not easy! Perhaps just let OCare crash &amp; burn!,Negative
"..under a magnifying glass they have zero ""tapes"" of T people colluding. There is no collusion &amp; no obstruction. I should be given apology!",Negative
The real story is that President Obama did NOTHING after being informed in August about Russian meddling. With 4 months looking at Russia...,Neutral
"...and did not want to ""rock the boat."" He didn't ""choke"" he colluded or obstructed and it did the Dems and Crooked Hillary no good.",Negative
The reason that President Obama did NOTHING about Russia after being notified by the CIA of meddling is that he expected Clinton would win..,Neutral
The Democrats have become nothing but OBSTRUCTIONISTS they have no policies or ideas. All they do is delay and complain.They own ObamaCare!,Negative
I am on @foxandfriends - Enjoy!,Positive
Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!,Negative
MAKE AMERICA GREAT AGAIN!,Positive
I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!,Negative
"Obama Administration official said they ""choked"" when it came to acting on Russian meddling of election. They didn't want to hurt Hillary?",Negative
Since the Obama Administration was told way before the 2016 Election that the Russians were meddling why no action? Focus on them not T!,Neutral
Democrats slam GOP healthcare proposal as Obamacare premiums &amp; deductibles increase by over 100%. Remember keep your doctor keep your plan?,Neutral
Just out: The Obama Administration knew far in advance of November 8th about election meddling by Russia. Did nothing about it. WHY?,Neutral
WEEKLY ADDRESS???? https://t.co/P1f12i9Gvt,Neutral
Today it was a tremendous honor for me to sign the #VAaccountability Act into law delivering my campaign promise… https://t.co/G0k8nFWqNj,Positive
I've helped pass and signed 38 Legislative Bills mostly with no Democratic support and gotten rid of massive amounts of regulations. Nice!,Positive
Will be on @foxandfriends. Enjoy!,Positive
RT @foxandfriends: POTUS the predictor? President Trump foretold housing upswing in 2012 https://t.co/N3LMDZKTK1,Positive
RT @foxnation: .@SenTedCruz: I want to Get to a 'Yes' Vote: https://t.co/g0vafw4ef2,Neutral
.@FLOTUS &amp; I were honored to host our first WH Congressional Picnic. A wonderful evening &amp; tradition. @MarineBand:… https://t.co/h5L4myWmam,Positive
We're all thinking of you @SteveScalise! #TeamScalise https://t.co/Yqf6exhm7x,Neutral
Together we are going to MAKE AMERICA GREAT AGAIN!#AmericaFirst???? https://t.co/MVJbs44AtR,Positive
I am very supportive of the Senate #HealthcareBill. Look forward to making it really special! Remember ObamaCare is dead.,Neutral
Mexico was just ranked the second deadliest country in the world after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!,Neutral
"As promised our campaign against the MS-13 gang continues. ""@ICEgov Busts 39 MS-13 Members in New York Operation""https://t.co/ki41GXeCMy",Neutral
"...whether there are ""tapes"" or recordings of my conversations with James Comey but I did not make and do not have any such recordings.",Neutral
With all of the recently reported electronic surveillance intercepts unmasking and illegal leaking of information I have no idea...,Negative
I certainly hope the Democrats do not force Nancy P out. That would be very bad for the Republican Party - and please let Cryin' Chuck stay!,Negative
...Why did the DNC REFUSE to turn over its Server to the FBI and still hasn't? It's all a big Dem scam and excuse for losing the election!,Negative
...Why did Democratic National Committee turn down the DHS offer to protect against hacks (long prior to election). It's all a big Dem HOAX!,Negative
By the way if Russia was working so hard on the 2016 Election it all took place during the Obama Admin. Why didn't they stop them?,Negative
Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump &amp; Russia.,Positive
Great night in Iowa - special people. Thank you!,Positive
Thank you Kirkwood Community College. Heading to the U.S. Cellular Center now for an 8pmE MAKE AMERICA GREAT AGAIN… https://t.co/n6LS32a6Zn,Positive
Just landed in Iowa. See everyone soon! #MAGA????,Neutral
Democrats would do much better as a party if they got together with Republicans on HealthcareTax CutsSecurity. Obstruction doesn't work!,Positive
Well the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News all the money spent = 0,Positive
Ralph Norman ran a fantastic race to win in the Great State of South Carolina's 5th District. We are all honored by your success tonight!,Positive
Congratulations to Karen Handel on her big win in Georgia 6th. Fantastic job we are all very proud of you!,Positive
"Thank you @FoxNews ""Huge win for President Trump and GOP in Georgia Congressional Special Election.""",Positive
Things are looking great for Karen H!,Positive
It was a great honor to welcome President Petro Poroshenko of Ukraine to the @WhiteHouse today with @VP Pence.??… https://t.co/J1ulOd6pYQ,Positive
While I greatly appreciate the efforts of President Xi &amp; China to help with North Korea it has not worked out. At least I know China tried!,Positive
The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: https://t.co/Rvm11ZbPk7,Negative
KAREN HANDEL FOR CONGRESS. She will fight for lower taxes great healthcare strong security-a hard worker who will never give up! VOTE TODAY,Positive
RT @SheriffClarke: Happy Father's Day to all dads. My dad. Like father like son @realDonaldTrump supporters to the end. He an Airborne Ra…,Positive
Democrat Jon Ossoff who wants to raise your taxes to the highest level and is weak on crime and security doesn't even live in district.,Negative
"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct no ideas. Vote ""R""",Negative
RT @joegooding: What's happening in our country isn't just an assault on our @POTUS @realDonaldTrump it's an assault on the American people…,Negative
RT @FoxNews: New Poll Shows @POTUS Approval at 50 Percenthttps://t.co/FRWlSVvxzQ,Positive
Melania and I offer our deepest condolences to the family of Otto Warmbier. Full statement: https://t.co/8kmcA6YtFD https://t.co/EhrP4BiJeB,Neutral
It was my great honor to welcome President @JC_Varela &amp; Mrs. Varela from Panama this afternoon.??????????… https://t.co/770OJj2uYb,Positive
....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday #VoteKarenHandel.,Negative
Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent....,Negative
....because he doesn't live there! He wants to raise taxes &amp; kill healthcare. On Tuesday #VoteKarenHandel.,Negative
Karen Handle's opponent in #GA06 can't even vote in the district he wants to represent....,Negative
....getting great border security and healthcare. #VoteRalphNorman tomorrow!,Positive
Ralph Norman who is running for Congress in SC's 5th District will be a fantastic help to me in cutting taxes and....,Positive
My heartfelt thoughts and prayers are with the 7 @USNavy sailors of the #USSFitzgerald and their families. ??… https://t.co/L3u5c8Iymh,Positive
The Dems want to stop tax cuts good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H,Neutral
Jay Sekulow on @foxandfriends now.,Neutral
RT @WhiteHouse: Happy Father's Day! https://t.co/32tFoVa4Ov,Positive
Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!,Positive
RT @DonaldJTrumpJr: Not surprising at all! Father Of Otto Warmbier: Obama Admin Told Us To Keep Quiet Trump Admin Brought Him Home  https…,Positive
RT @DiamondandSilk: The Media Says:  The President Should Stop Tweeting about Russia.  Well Why Don't the Media Take Their Own Advice &amp; S…,Positive
The new Rasmussen Poll one of the most accurate in the 2016 Election just out with a Trump 50% Approval Rating.That's higher than O's #'s!,Positive
...massive regulation cuts 36 new legislative bills signed great new S.C.Justice and Infrastructure Healthcare and Tax Cuts in works!,Positive
The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs high business enthusiasm..,Positive
Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for th… https://t.co/BBvmTFxVkk,Positive
RT @seanhannity: #Hannity Starts in 30 minutes with @newtgingrich and my monologue on the Deep State’s allies in the media,Neutral
Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!,Positive
National Security Presidential Memorandum on Strengthening the Policy of the United States Toward CubaMemorandum… https://t.co/RVr9Dg2hXt,Neutral
Remarks by President Trump on the Policy of the U.S.A. Towards CubaVideo: https://t.co/jUWCjgxX5DTranscript:… https://t.co/hILCHbPJet,Positive
Great news! #MAGA https://t.co/pirHR7lAyT,Positive
I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt,Neutral
Despite the phony Witch Hunt going on in America the economic &amp; jobs numbers are great. Regulations way down jobs and enthusiasm way up!,Neutral
The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them,Negative
"After 7 months of investigations &amp; committee hearings about my ""collusion with the Russians""  nobody has been able to show any proof. Sad!",Negative
#CongressionalBaseballGame?? https://t.co/u8InOJTf6D,Neutral
Thank you Wisconsin! Tuesday was a great success for #WorkforceWeek at @WCTC w/ @IvankaTrump &amp; @GovWalker. Remarks… https://t.co/L8o396yYKX,Positive
Crooked H destroyed phones w/ hammer 'bleached' emails &amp; had husband meet w/AG days before she was cleared- &amp; they talk about obstruction?,Negative
Why is that Hillary Clintons family and Dems dealings with Russia are not looked at but my non-dealings are?,Neutral
You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people!  #MAGA,Neutral
They made up a phony collusion with the Russians story found zero proof so now they go for obstruction of justice on the phony story. Nice,Negative
Just left hospital. Rep. Steve Scalise one of the truly great people is in very tough shape - but he is a real fighter. Pray for Steve!,Positive
Happy birthday to U.S. ARMY and our soldiers. Thank you for your bravery sacrifices &amp; dedication. Proud to be your Commander-in-Chief!,Positive
Rep. Steve Scalise of Louisiana a true friend and patriot was badly injured but will fully recover. Our thoughts and prayers are with him.,Neutral
Just got back from Wisconsin. Great day great people!,Positive
RT @TuckerCarlson: .@RichardGrenell : @realDonaldTrump told Tillerson he had the full support of the U.S. Gov't to bring #OttoWarmbier home…,Positive
The passage of the @DeptVetAffairs Accountability and Whistleblower Protection Act is GREAT news for veterans! I lo… https://t.co/k45aci25BT,Positive
Just arrived in Wisconsin to discuss JOBS JOBS JOBS! #MAGA???? https://t.co/lEJ9S817yb,Neutral
2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up have no answer = resist!,Negative
Heading to the Great State of Wisconsin to talk about JOBS JOBS JOBS! Big progress being made as the Real News is reporting.,Positive
Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???,Negative
A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!,Neutral
RT @Corrynmb: @realDonaldTrump Liberals have an agenda and it's not in America's best interest. Keep fighting the good fight! We stand with…,Positive
Well as predicted the 9th Circuit did it again - Ruled against the TRAVEL BAN at such a dangerous time in the history of our country. S.C.,Neutral
The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!,Negative
Congratulations to the 2016 @ClemsonFB Tigers!Full ceremony: https://t.co/syJUGoMhHJ#NationalChampions?? https://t.co/F23NZoX2BI,Positive
Finally held our first full @Cabinet meeting today. With this great team we can restore American prosperity and br… https://t.co/b0roksHTFE,Positive
Congratulations! 'First New Coal Mine of Trump Era Opens in Pennsylvania' https://t.co/aIRllxNLQA,Positive
We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting.… https://t.co/7lZGgDJkxZ,Negative
Ivanka on @foxandfriends now!,Neutral
Great numbers on the economy. All of our work including the passage of many bills &amp; regulation killing Executive Orders now kicking in!,Positive
RT @foxandfriends: .@GeraldoRivera: Chances of impeachment went from 3% to 0% with Comey's testimony https://t.co/kfeXKdpJGe,Neutral
"RT @foxandfriends: ""Yesterday's hearings provided zero evidence of collusion between our campaign and the Russians because there wasn't any…",Negative
My daughter Ivanka will be on @foxandfriends tomorrow morning. Enjoy!,Positive
The Democrats have no message  not on economics not on taxes  not on jobs not on failing #Obamacare. They are only OBSTRUCTIONISTS!,Negative
I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!',Negative
...way up. Regulations way down. 600000+ new jobs added. Unemployment down to 4.3%. Business and economic enthusiasm way up- record levels!,Positive
The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling &amp; energy sector...,Positive
America is going to build again. Under budget and ahead of schedule. Time to put #AmericaFirst! #InfrastructureWeek… https://t.co/D5TbbjXcN3,Neutral
Time to start building in our country with American workers &amp; with American iron aluminum &amp; steel. It is time to… https://t.co/rGZCRyeCMZ,Neutral
It is time to rebuild OUR country to bring back OUR jobs to restore OUR dreams &amp; yes to put #AmericaFirst! TY O… https://t.co/2b2bXwxGkA,Neutral
A great honor to host and welcome leaders from around America to the @WhiteHouse Infrastructure Summit.… https://t.co/5f6cN3HboQ,Positive
An honor to join the @FaithandFreedom Coalition yesterday. In America we don't worship government. We worship God.… https://t.co/1ds8BrzUQe,Positive
Congratulations to Jeb Hensarling &amp; Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!,Positive
RT @AlanDersh: We should stop talking about obstruction of justice. No plausible case. We must distinguish crimes from pol sins https://t.c…,Negative
Great reporting by @foxandfriends and so many others. Thank you!,Positive
Despite so many false statements and lies total and complete vindication...and WOW Comey is a leaker!,Negative
Getting ready to leave for Cincinnati in the GREAT STATE of OHIO to meet with ObamaCare victims and talk Healthcare &amp; also Infrastructure!,Positive
I will be nominating Christopher A. Wray a man of impeccable credentials to be the new Director of the FBI. Details to follow.,Positive
Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.,Negative
#ICYMI: Announcement of Air Traffic Control Initiative Watch??https://t.co/IMiZr22gAw,Neutral
Great meeting with @HouseGOP and @SenateGOP leaders including @SpeakerRyan @SenateMajLdr @GOPLeader @JohnCornyn… https://t.co/G03W8CEtCS,Positive
Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay… https://t.co/zhR24dMzYB,Positive
...extremism and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!,Negative
So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...,Neutral
Sorry folks but if I would have relied on the Fake News of CNN NBC ABC CBS washpost or nytimes I would have had ZERO chance winning WH,Negative
During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,Negative
The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.,Negative
Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!,Neutral
RT @foxandfriends: FOX NEWS ALERT: ISIS claims responsibility for hostage siege in Melbourne Australia that killed 1 person and injured 3…,Negative
RT @foxandfriends: Sen. Ted Cruz: Trump's air traffic control plan is a 'win-win' for Democrats and Republicans https://t.co/TsggUEfOO2,Positive
That's right we need a TRAVEL BAN for certain DANGEROUS countries not some politically correct term that won't help us protect our people!,Positive
Today I announced an Air Traffic Control Initiative to take American air travel into the future - finally!??… https://t.co/NIIorkSRJN,Neutral
.@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best! ??… https://t.co/RnNp9q7Tdh,Positive
"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",Negative
.@foxandfriends  Dems are taking forever to approve my people including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.,Positive
In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!,Negative
The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!,Positive
The Justice Dept. should have stayed with the original Travel Ban not the watered down politically correct version they submitted to S.C.,Positive
People the lawyers and the courts can call it whatever they want but I am calling it what we need and what it is a TRAVEL BAN!,Neutral
Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,Positive
"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",Negative
We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,Positive
Whatever the United States can do to help out in London and the U. K. we will be there - WE ARE WITH YOU. GOD BLESS!,Positive
We need to be smart vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!,Positive
RT @DRUDGE_REPORT: Fears of new terror attack after van 'mows down 20 people' on London Bridge...,Negative
#WeeklyAddress???? https://t.co/DNzRZiKxhd,Neutral
#MakeAmericaGreatAgain????https://t.co/eJxeVZ3A1r,Neutral
RT @EricTrump: #MakeAmericaGreatAgain!!! ???????? https://t.co/MStWl628xe,Neutral
RT @HeyTammyBruce: Coming up at 720a ET on @foxandfriends! See you there! ???? #maga,Neutral
RT @LindseyGrahamSC: I support President Trump’s desire to re-enter the Paris Accord after the agreement becomes a better deal for America…,Positive
RT @Reince45: Promise kept. @POTUS exits flawed #ParisAccord to seek better deal for U.S. workers &amp; economy. This WH will always put #Ameri…,Positive
RT @GOPLeader: .@POTUS made the right call in leaving a deal that would have put an unnecessary burden on the United States. https://t.co/q…,Negative
RT @Jim_Jordan: President Trump did the right thing by withdrawing us from Paris treaty - it would hurt American companies and American wor…,Positive
RT @VP: Our President is choosing to put American jobs American consumers American energy and American industry first. https://t.co/y2Op…,Neutral
RT @foxandfriends: Wall Street hits record highs after Trump pulls out of Climate pact https://t.co/PDmwj13Lus,Positive
MAKE AMERICA GREAT AGAIN!,Positive
My job as President is to do everything within my power to give America a level playing field. #AmericaFirst??????… https://t.co/hL7OwbWzyi,Neutral
Join me live at the @WhiteHouse.??https://t.co/9VOb99W42r https://t.co/sjb5VHLHYH,Neutral
"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",Neutral
I will be announcing my decision on Paris Accord Thursday at 3:00 P.M.  The White House Rose Garden.  MAKE AMERICA GREAT AGAIN!,Positive
Crooked Hillary Clinton now blames everybody but herself refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.,Negative
It was an honor to welcome the Prime Minister of Vietnam Nguy?n Xuân Phúc to the @WhiteHouse this afternoon. https://t.co/6YbrIvJUCY,Positive
We traveled the world to strengthen long-standing alliances and to form new partnerships. See more at:… https://t.co/FT4kyPoAl0,Neutral
I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,Positive
Hopefully Republican Senators good people all can quickly get together and pass a new (repeal &amp; replace) HEALTHCARE bill. Add saved $'s.,Positive
Kathy Griffin should be ashamed of herself. My children especially my 11 year old son Barron are having a hard time with this. Sick!,Negative
"...case against him &amp; now wants to clear his name by showing ""the false or misleading testimony by James Comey John Brennan..."" Witch Hunt!",Negative
So now it is reported that the Democrats who have excoriated Carter Page about Russia don't want him to testify. He blows away their....,Neutral
"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",Positive
Despite the constant negative press covfefe,Negative
RT @foxandfriends: Jared Kushner didn't suggest Russian communications channel in meeting source says https://t.co/nF6bM1FEt1,Neutral
RT @Scavino45: President Trump pays respects and  delivers #MemorialDay remarks at Arlington National Cemetery. https://t.co/D5rl948J6u,Positive
The U.S. Senate should switch to 51 votes immediately and get Healthcare and TAX CUTS approved fast and easy. Dems would do it no doubt!,Neutral
Russian officials must be laughing at the U.S. &amp; how a lame excuse for why the Dems lost the election has taken over the Fake News.,Negative
We have a MASSIVE trade deficit with Germany plus they pay FAR LESS than they should on NATO &amp; military. Very bad for U.S. This will change,Negative
I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,Positive
Today we remember the men and women who made the ultimate sacrifice in serving. Thank you God bless your families &amp; God bless the USA!,Positive
North Korea has shown great disrespect for their neighbor China by shooting off yet another ballistic missile...but China is trying hard!,Negative
Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free because of the brave. #MemorialDay????,Positive
The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!,Negative
The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well actually ahead of schedule. Big benefits to all!,Positive
I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,Positive
British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,Negative
Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,Negative
....it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!,Negative
Does anyone notice how the Montana Congressional race was such a big deal to Dems &amp; Fake News until the Republican won? V was poorly covered,Negative
....it is very possible that those sources don't exsist but are made up by fake news writers. #FakeNews is the enemy!,Negative
Whenever you see the words 'sources say' in the fake news media and they don't mention names....,Negative
It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,Negative
Just returned from Europe. Trip was a great success for America. Hard work but big results!,Positive
Big win in Montana for Republicans!,Positive
Just arrived in Italy after having a very successful NATO meeting in Brussels. Told other nations they must pay more not fair to  U.S.,Positive
Big win in Montana for Republicans! We,Positive
Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS JOBS JOBS!,Neutral
